"","suppdem","age","party_reg_state","party_primary_state","sex","combined_ethnicity_4way","single","married","num_children","children_3plus","hasreligion","catholic","christian","bible_reader","interest_in_religion","donrever_1","liberal_donor","conservative_donor","contbrel_1","contbpol_1","contbhlt_1","blue_collar","farmer","professional_technical","retired","apparel_1","bookmusc_1","electrnc_1","boatownr_1","cat_1","environm_1","outdgrdn_1","outdoor_1","guns_1","golf_1","investor_1","veteran_1","expensive_items_1","cnty_pct_religious","cnty_pct_evangelical","district_status","property_status","collapsed_educ","relative_income"
"13","Y",18,1,0,"M","W",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.510518889,0.20952,2,2,"1",0.81424669
"14","N",74,0,1,"F","W",0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0.552168889,0.43435,1,2,"2",0.468308438
"15","Y",81,1,0,"F","B",0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.4635,0.081128889,2,2,"1",0.881011609
"16","N",52,1,0,"F","W",0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0.28656,0.11259,2,2,"1",1.12944547
"17","Y",32,1,0,"M","W",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.35761,0.077238889,1,2,"2",5.396778164
"18","N",55,1,0,"F","W",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.295448889,0.07726,2,2,"2",1.174549517
"19","N",47,0,1,"F","W",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.412318889,0.320648889,1,2,"1",1.897683245
"20","N",23,1,1,"M","A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.63582,0.06778,2,1,"1",0.592
"21","N",64,1,1,"M","W",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491138889,0.23671,2,2,"4",0.849767516
"22","Y",77,1,0,"F","W",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0.590658889,0.082628889,1,2,"2",0.633376921
"23","N",78,0,1,"F","W",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76425,0.587148889,2,2,"2",0.967071225
"24","Y",59,1,1,"F","W",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0.44816,0.089078889,2,2,"4",1.355380862
"25","Y",64,1,0,"M","B",0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0.669518889,0.534518889,2,2,"1",1.8
"26","N",66,1,1,"F","W",0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0.4495,0.214098889,1,2,"2",1.331676136
"27","Y",46,1,0,"M","H",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.412698889,0.1579,1,2,"2",1.481481481
"28","N",28,1,1,"M","W",0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0.52599,0.04713,2,2,"1",1.202366764
"29","N",57,1,1,"M","W",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0.60236,0.16611,1,2,"2",1.024190402
"30","Y",54.77072937,0,1,"F","B",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.683048889,0.45072,1,2,"4",0.867581376
"31","Y",36,0,1,"M","W",0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0.59621,0.083348889,3,2,"1",1.937682739
"32","N",53,1,0,"M","W",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0.35761,0.077238889,2,2,"4",1.391434649
"33","N",57,0,1,"F","W",0,1,3,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0.57286,0.1154,2,2,"1",1.632015894
"34","N",30,0,1,"F","B",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40423,0.1239,2,1,"2",1.065403966
"35","Y",64,0,1,"F","H",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56435,0.168258889,3,2,"2",1.935336976
"36","N",70,1,1,"M","B",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0.45567,0.20775,2,2,"2",0.248262165
"37","N",46,0,0,"M","B",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.43311,0.10106,2,2,"2",3.966213735
"38","Y",83,1,1,"F","W",0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0.419888889,0.244628889,1,0,"4",0.683229814
"39","Y",47,0,1,"F","W",0,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0.369378889,0.195198889,2,2,"1",0.319478074
"40","N",73,0,1,"M","W",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.37643,0.15271,2,2,"2",1.945891658
"41","N",55,0,0,"F","W",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0.42331,0.145468889,2,2,"1",1.641117452
"42","N",78,1,1,"F","W",0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0.43005,0.035008889,1,2,"2",0.386666667
"43","Y",25,1,0,"M","H",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295448889,0.07726,2,1,"2",1.645014341
"44","Y",63,0,1,"M","B",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0.576768889,0.329518889,1,2,"2",1.55189647
"45","Y",34,1,1,"F","W",0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0.48106,0.02926,2,2,"4",1.231869996
"46","Y",80,1,0,"F","W",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0.35761,0.077238889,3,2,"1",1.113294041
"47","N",88,0,0,"M","W",0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0.54683,0.23455,1,2,"2",0.411015208
"48","N",27,0,0,"M","W",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0.51661,0.16278,2,2,"1",1.397745474
"49","N",77,1,0,"F","W",0,1,2,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0.34887,0.178258889,2,2,"1",0.664421381
"50","Y",34,0,1,"F","B",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.56435,0.168258889,2,2,"1",1.40078066
"51","N",51,0,0,"F","W",0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0.23683,0.135068889,1,2,"2",1.396495071
"52","N",48,1,0,"F","W",0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0.421138889,0.02401,2,2,"2",2.227068158
"53","N",81,1,0,"M","H",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.397578889,0.108878889,3,2,"2",0.293261275
"54","N",64,1,1,"M","W",0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0.36598,0.199848889,1,2,"2",0.37791308
"55","Y",66,0,1,"F","B",0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0.658,0.222038889,2,2,"2",1.411891262
"56","N",48,0,1,"M","W",0,1,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0.59969,0.41311,2,2,"4",0.719361518
"57","Y",29,0,1,"F","A",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45536,0.242568889,2,2,"2",0.92074194
"58","Y",51,1,0,"M","B",0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0.48517,0.10859,2,2,"2",1.622773843
"59","N",60,1,0,"M","W",0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0.743898889,0.23231,1,2,"1",1.077457201
"60","N",63,1,1,"M","W",1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.364768889,0.0844,2,2,"2",4.351512988
"61","N",31,1,1,"F","W",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0.59695,0.052758889,2,2,"1",1.454829619
"62","N",45,0,1,"F","W",0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0.472898889,0.273078889,2,2,"1",3.125406954
"63","Y",56,1,0,"F","B",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0.671288889,0.0298,3,2,"2",1.371760033
"64","N",34,1,0,"F","W",0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0.21877,0.20384,1,2,"4",1.277694713
"65","Y",77,0,0,"F","B",0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0.528018889,0.229008889,2,2,"2",0.646605322
"66","N",35,0,1,"M","W",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.65532,0.103268889,1,1,"2",1.022824131
"67","Y",60,1,1,"F","B",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0.464138889,0.182758889,1,2,"2",1.373656807
"68","N",32,0,0,"M","W",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0.32049,0.13152,2,2,"2",2.050539774
"69","Y",23,1,1,"F","W",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.63582,0.06778,2,2,"2",0.972422109
"70","Y",70,1,1,"M","W",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0.43917,0.09767,1,2,"2",0.766361086
"71","Y",66,1,1,"F","H",0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0.531038889,0.082968889,3,2,"2",1.038367141
"72","Y",39,1,1,"M","H",0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.531038889,0.082968889,3,2,"2",3.415682695
"73","Y",45,0,1,"M","B",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.40423,0.1239,3,2,"2",0.831933184
"74","N",76,0,0,"F","W",0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0.47006,0.22115,1,2,"2",0.92913502
"75","Y",43,1,1,"F","H",1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.47873,0.102098889,2,2,"4",1.374903176
"76","N",31,1,0,"F","W",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25318,0.191258889,2,0,"2",1.074034295
"77","N",78,1,0,"F","W",0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0.352278889,0.153098889,3,2,"1",0.346956355
"78","Y",47,1,0,"M","W",0,1,5,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0.57383,0.053788889,2,2,"2",1.578014184
"79","Y",33,1,0,"F","H",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0.218258889,0.09167,2,2,"2",1.004883104
"80","Y",52,0,0,"F","W",0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0.454688889,0.16343,1,2,"2",0.337980566
"81","Y",28,1,0,"M","W",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468898889,0.133288889,2,1,"2",1.736829046
"82","N",61,0,1,"M","W",0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0.50967,0.35854,1,2,"2",2.079112912
"83","Y",25,1,1,"F","H",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.54572,0.02696,3,2,"2",1.381743973
"84","N",21,1,0,"M","W",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0.510518889,0.20952,2,2,"2",0.983674905
"85","N",48,1,1,"F","W",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.259778889,0.10878,2,2,"2",1.555542
"86","N",34,0,0,"F","B",0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0.479088889,0.082578889,2,2,"1",1.084721249
"87","Y",24,0,1,"M","W",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0.66,0.3883,2,2,"2",0.865821126
"88","N",70,1,0,"F","W",1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0.24074,0.04888,1,2,"2",0.534023456
"89","Y",24,1,1,"F","A",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0.37073,0.111098889,2,2,"2",0.941606352
"90","Y",62,1,0,"M","W",0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0.184408889,0.04389,1,2,"1",2.339927675
"91","N",59,1,1,"F","H",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293588889,0.07828,2,1,"2",2.398738949
"92","N",36,1,0,"M","W",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0.266128889,0.22615,1,2,"2",2.271401823
"93","Y",75,0,1,"M","W",0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0.45016,0.058898889,1,2,"2",0.490258771
"94","Y",39,0,1,"F","W",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.552138889,0.301078889,2,2,"2",1.324183158
"95","N",44,1,1,"F","W",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0.51461,0.103608889,2,2,"2",1.38996139
"96","Y",60,1,1,"F","B",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0.564148889,0.08443,3,2,"1",1.071889693
"97","Y",65,0,1,"F","W",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0.73597,0.36831,2,2,"4",4.422972237
"98","N",84,1,0,"M","W",0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0.27391,0.18208,1,2,"2",0.283230571
"99","N",45,0,1,"F","W",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0.38647,0.19765,2,2,"4",1.294086449
"100","N",49,1,1,"M","W",0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0.63582,0.06778,2,2,"1",1.275667493
"101","Y",36,0,1,"M","H",0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.58395,0.26324,2,2,"4",0.973063141
"102","N",88,1,0,"M","W",0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.72108,0.03945,2,2,"2",1.157565028
"103","Y",89,1,1,"F","H",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0.531038889,0.082968889,3,2,"1",0.329957613
"104","N",62,0,0,"M","W",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0.43311,0.10106,3,2,"4",1.278323641
"105","N",47,1,1,"M","H",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.407378889,0.12051,2,2,"2",2.080546887
"106","Y",65,0,1,"F","B",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0.59621,0.083348889,3,2,"1",0.717280953
"107","N",56,1,0,"F","W",0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0.668898889,0.05334,1,1,"2",2.869233151
"108","N",38,0,1,"M","W",0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0.51647,0.107568889,2,2,"2",0.978142282
"109","N",70,1,1,"F","W",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.54572,0.02696,3,2,"2",0.297469649
"110","N",86,1,0,"M","W",0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0.515768889,0.05245,3,2,"4",2.118545421
"111","N",70,0,1,"M","W",0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0.487068889,0.44972,1,2,"2",2.09019052
"112","N",21,0,1,"F","W",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.519628889,0.09845,2,2,"2",0.873983439
"113","N",36,0,1,"M","H",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.57725,0.10873,2,2,"1",1.587463112
"114","N",48,0,0,"F","W",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639658889,0.18278,2,2,"2",2.27629692
"115","Y",44,1,1,"F","H",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.464628889,0.2856,2,1,"2",1.145522235
"116","Y",69,1,1,"F","W",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52586,0.133168889,1,0,"2",0.448479037
"117","Y",47,1,0,"F","H",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.295448889,0.07726,2,2,"2",1.50222329
"118","N",60,0,1,"F","W",0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0.485458889,0.174408889,2,2,"2",1.711910002
"119","N",55,0,1,"F","W",0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0.284508889,0.103718889,1,2,"2",1.739006992
"120","Y",39,1,0,"F","W",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.515768889,0.05245,3,1,"1",2.136870733
"121","N",25,1,1,"M","W",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0.39986,0.119658889,3,2,"1",1.812328095
"122","Y",64,1,1,"M","H",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0.404688889,0.15306,2,2,"2",1.385303192
"123","Y",31,0,1,"F","W",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0.314378889,0.13361,2,2,"2",1.433486239
"124","N",38,1,0,"M","W",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0.40706,0.17409,2,2,"1",2.411060097
"125","N",62,1,0,"M","W",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0.54757,0.24308,3,2,"4",0.736272088
"126","N",26,1,1,"M","B",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333628889,0.112238889,2,1,"1",1.335182047
"127","N",53,1,0,"F","W",0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0.35761,0.077238889,2,2,"4",1.779479367
"128","N",81,0,1,"M","W",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0.48687,0.220788889,1,2,"4",0.688274309
"129","Y",40,1,0,"M","H",0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0.515768889,0.05245,3,1,"2",1.164457184
